"","Serial","FirstActive","LastActive","RngObsAct"
"1","229059",2021-05-08 08:38:00,2021-05-12 13:19:00,4
"2","229060",2021-05-02 15:37:00,2021-05-15 10:11:00,13
"3","229063",2021-05-02 12:43:00,2021-06-25 14:34:00,54
"4","229065",2021-05-12 11:32:00,2021-05-20 10:56:00,8
"5","229066",2021-05-02 15:46:00,2021-05-27 13:12:00,25
"6","229069",2021-05-02 14:57:00,2021-06-16 10:50:00,45
"7","229070",2021-05-02 14:28:00,2021-06-07 11:08:00,36
"8","229070a",2021-05-20 13:18:00,2021-06-22 12:00:00,33
"9","229072",2021-05-08 09:55:00,2021-06-06 10:09:00,29
"10","229073",2021-05-02 15:14:00,2021-05-02 15:14:00,0
"11","229077",2021-05-01 16:58:00,2021-05-15 12:08:00,14
"12","229078",2021-05-02 09:31:00,2021-06-08 12:19:00,37
"13","229079",2021-05-04 11:37:00,2021-07-08 11:52:00,65
"14","229080",2021-05-04 15:44:00,2021-05-11 13:37:00,7
"15","245741",2021-05-02 15:30:00,2021-07-13 10:58:00,72
"16","245742",2021-05-02 14:14:00,2021-06-25 10:03:00,54
"17","245744",2021-05-02 12:58:00,2021-07-13 10:20:00,72
"18","245745",2021-05-02 12:37:00,2021-07-05 10:08:00,64
"19","245747",2021-05-02 13:21:00,2021-06-26 17:34:00,55
"20","245748",2021-05-04 14:56:00,2021-06-20 10:27:00,47
"21","245750",2021-05-12 12:10:00,2021-05-30 08:45:00,18
"22","245751",2021-05-08 09:23:00,2021-05-08 09:23:00,0
"23","245752",2021-05-02 13:16:00,2021-06-11 11:15:00,40
"24","245753",2021-05-10 13:09:00,2021-06-14 11:05:00,35
"25","245754",2021-05-04 12:14:00,2021-05-25 10:29:00,21
"26","245756",2021-05-02 12:30:00,2021-05-20 12:40:00,18
"27","245759",2021-05-04 13:14:00,2021-05-04 13:14:00,0
"28","245760",2021-05-02 10:49:00,2021-06-03 13:47:00,32
"29","245761",2021-05-02 14:02:00,2021-07-01 08:57:00,60
"30","245762",2021-05-02 14:40:00,2021-06-10 15:42:00,39
"31","245762a",2021-05-12 14:55:00,2021-07-13 10:26:00,62
"32","252881",2021-05-15 16:33:00,2021-06-27 10:17:00,43
"33","252882",2021-05-12 15:41:00,2021-05-12 15:41:00,0
"34","252883",2021-05-02 14:04:00,2021-06-08 11:39:00,37
"35","252884",2021-05-02 12:46:00,2021-05-25 14:44:00,23
"36","252885",2021-05-02 13:08:00,2021-06-03 11:09:00,32
"37","252886",2021-05-04 10:52:00,2021-05-11 17:12:00,7
"38","252887",2021-05-01 13:37:00,2021-06-10 14:40:00,40
"39","Uncollared",2021-05-01 16:29:00,2021-06-05 10:28:00,35
