X1,X2,X3,X4,X0
2018,2019,2020,2021,year
3.89,7.61,4.50,2.91,winter_precip_in
17.9 ± 4.9,17.7 ± 4.9,14.9 ± 5.5,17.3 ± 4,April_temp
21.4 ± 3.3,18.6 ± 3.6,24.2 ± 3.9,22.8 ± 4.6,May_temp
27.5 ± 3.6,27.5 ± 2.7,27.5 ± 4.9,28.7 ± 5.8,June_temp
32 ± 1.7,31.1 ± 2.6,32.3 ± 2.5,33.8 ± 2.5,July_temp
50.1 ± 13.3,52.1 ± 17.1,62.2 ± 19.2,37 ± 16.1,April_RH
50.7 ± 11.2,59.3 ± 17.7,43.4 ± 16.4,32.9 ± 10.4,May_RH
32.8 ± 11,36.2 ± 10.2,38 ± 11.6,31.4 ± 9.9,June_RH
28.6 ± 9.1,31.1 ± 6.3,29.3 ± 7.4,26.1 ± 7,July_RH
1.2 ± 0.6,1.2 ± 0.7,0.8 ± 0.6,1.5 ± 0.6,April_VPD
1.5 ± 0.5,1 ± 0.6,2 ± 0.9,2.1 ± 0.7,May_VPD
2.7 ± 0.7,2.5 ± 0.6,2.6 ± 0.9,3.1 ± 1.1,June_VPD
3.6 ± 0.6,3.3 ± 0.7,3.7 ± 0.6,4.1 ± 0.8,July_VPD
0.38,0.25,NA,0.22,May_prop_below
0.65,0.31,NA,0.52,June_prop_below
0.81,0.43,NA,0.74,July_prop_below
